"s11","s12","s13","s14","s15","s16","s17","s18","s21","s22","s23","s24","s25","s26","s27","s28","IngsInRow","IngIn1","IngIn2"
"Salami","Roast beef","Turkey","Ham","Swiss cheese","Lettuce","Tomatoes","Mayonnaise","Chicken","Gouda cheese","Avocado","Basil","Bell peppers","Mayonnaise","","",8,8,6
"Turkey","Bacon","Pepper jack cheese","Avocado","Ranch dressing","Spinach","Tomatoes","","Chicken","Bacon","Cheddar cheese","Swiss cheese","Spinach","Tomatoes","Mayonnaise","Mustard",8,7,8
"Bacon","Ham","Turkey","Mayonnaise","Cheddar cheese","Tomatoes","Spinach","Swiss cheese","Turkey","Salami","Cheddar cheese","Mayonnaise","","","","",8,8,4
"Pastrami","Swiss cheese","Coleslaw","","","","","","Chicken","Bacon","Feta cheese","Bell peppers","Basil","Garlic aioli","","",6,3,6
"Chicken","Ham","Cheddar cheese","Mayonnaise","","","","","Turkey","Bacon","Avocado","Provolone cheese","Lettuce","Tomatoes","Onions","Ranch dressing",8,4,8
"Bacon","Lettuce","Tomatoes","Garlic aioli","Avocado","","","","Ham","Swiss cheese","Spinach","Mustard","","","","",5,5,4
"Meatballs","Provolone cheese","Marinara sauce","Parmesan cheese","","","","","Turkey","Cheddar cheese","Bacon","","","","","",4,4,3
"Steak","Onions","Bell peppers","Provolone cheese","","","","","Tuna","Lettuce","Tomatoes","Mayonnaise","","","","",4,4,4
"Meatballs","Provolone cheese","Onions","Marinara sauce","","","","","Chicken","Pepper jack cheese","Ranch dressing","","","","","",4,4,3
"Turkey","Avocado","Mayonnaise","","","","","","Chicken","Mozzarella cheese","Tomatoes","Onions","Basil","Mayonnaise","","",6,3,6
"Mushrooms","Swiss cheese","Provolone cheese","Cheddar cheese","Lettuce","Tomatoes","","","Avocado","Spinach","Tomatoes","Swiss cheese","","","","",6,6,4
"Chicken","Mozzarella cheese","Tomatoes","Pesto","Spinach","","","","Roast beef","Turkey","Pastrami","Mayonnaise","Provolone cheese","","","",5,5,5
"Turkey","Garlic aioli","Bacon","Spinach","","","","","Chicken","Mayonnaise","Cheddar cheese","","","","","",4,4,3
"Turkey","Ham","Roast beef","Provolone cheese","Spinach","Tomatoes","Mayonnaise","Mustard","Ham","Swiss cheese","Mayonnaise","Mustard","Tomatoes","","","",8,8,5
"Spinach","Tomatoes","Cucumbers","Onions","Bell peppers","Avocado","Mayonnaise","","Turkey","Ham","Bacon","Swiss cheese","Lettuce","Tomatoes","Onions","",7,7,7
"Turkey","Ham","Bacon","Provolone cheese","Lettuce","Tomatoes","Ranch dressing","","Chicken","Cheddar cheese","Bacon","Avocado","Ranch dressing","","","",7,7,5
"Bacon","Ham","Turkey","Mayonnaise","Mustard","Cheddar cheese","Tomatoes","Spinach","Turkey","Avocado","Bacon","Garlic aioli","Tomatoes","Spinach","Onions","",8,8,7
"Avocado","Onions","Cucumbers","","","","","","Tuna","Basil","Cheddar cheese","Garlic aioli","Pickles","Onions","Tomatoes","Spinach",8,3,8
"Bacon","Lettuce","Tomatoes","Ranch dressing","","","","","Turkey","Gouda cheese","Avocado","Garlic aioli","Jalapenos","Tomatoes","Lettuce","",7,4,7
"Chicken","Bell peppers","Bacon","Provolone cheese","Ranch dressing","Lettuce","Tomatoes","","Pastrami","Cheddar cheese","Mustard","Pickles","","","","",7,7,4
"Turkey","Ham","Cheddar cheese","Mayonnaise","","","","","Chicken","Ham","Swiss cheese","Mayonnaise","Mustard","","","",5,4,5
"Steak","Turkey","Ham","Cheddar cheese","Olives","Lettuce","Tomatoes","Onions","Chicken","Swiss cheese","Lettuce","Tomatoes","Onions","","","",8,8,5
"Chicken","Provolone cheese","Pesto","","","","","","Turkey","Bacon","Jalapenos","Lettuce","Avocado","Garlic aioli","Tomatoes","",7,3,7
"Pork","Ham","Swiss cheese","Pickles","Mustard","","","","Steak","Turkey","Ham","Cheddar cheese","Olives","Lettuce","Tomatoes","Onions",8,5,8
"Bacon","Provolone cheese","Mushrooms","Parmesan cheese","","","","","Turkey","Bacon","Jalapenos","Lettuce","Avocado","Garlic aioli","Tomatoes","",7,4,7
"Chicken","Bacon","Feta cheese","Bell peppers","Basil","Garlic aioli","","","Turkey","Ham","Cheddar cheese","Mayonnaise","","","","",6,6,4
"Meatballs","Provolone cheese","Onions","Marinara sauce","","","","","Chicken","Mozzarella cheese","Tomatoes","Pesto","Spinach","","","",5,4,5
"Chicken","Gouda cheese","Avocado","Basil","Bell peppers","Mayonnaise","","","Turkey","Gouda cheese","Avocado","Garlic aioli","Jalapenos","Tomatoes","Lettuce","",7,6,7
"Bell peppers","Provolone cheese","Cucumbers","Spinach","Tomatoes","Onions","Hummus","","Roast beef","Bacon","Turkey","Mayonnaise","","","","",7,7,4
"Turkey","Ham","Bacon","Swiss cheese","Lettuce","Tomatoes","Onions","","Chicken","Pickles","Basil","Tomatoes","Cucumbers","","","",7,7,5
"Chicken","Cheddar cheese","Mayonnaise","","","","","","Turkey","Cheddar cheese","Coleslaw","Spinach","Mustard","","","",5,3,5
"Chicken","Provolone cheese","Pesto","","","","","","Ham","Lettuce","Tomatoes","Mayonnaise","Mustard","","","",5,3,5
"Spinach","Tomatoes","Cucumbers","Onions","Bell peppers","Avocado","Mayonnaise","","Turkey","Provolone cheese","Spinach","Garlic aioli","","","","",7,7,4
"Mozzarella cheese","Bell peppers","Pesto","Spinach","","","","","Chicken","Ham","Swiss cheese","Mayonnaise","","","","",4,4,4
"Turkey","Provolone cheese","Pesto","Bell peppers","","","","","Swiss cheese","Provolone cheese","Bell peppers","Tomatoes","Onions","","","",5,4,5
"Cheddar cheese","Avocado","Onions","Tomatoes","Mayonnaise","","","","Bacon","Ham","Turkey","Mayonnaise","Cheddar cheese","Tomatoes","Spinach","Swiss cheese",8,5,8
"Turkey","Avocado","Mayonnaise","","","","","","Ham","Pork","Swiss cheese","Mustard","Pickles","","","",5,3,5
"Chicken","Bell peppers","Bacon","Provolone cheese","Ranch dressing","Lettuce","Tomatoes","","Turkey","Bacon","Pepper jack cheese","Avocado","Ranch dressing","Spinach","Tomatoes","",7,7,7
"Roast beef","Turkey","Pastrami","Mayonnaise","Provolone cheese","","","","Ham","Swiss cheese","Spinach","Mustard","","","","",5,5,4
"Turkey","Salami","Cheddar cheese","Mayonnaise","","","","","Turkey","Bacon","Avocado","Provolone cheese","Lettuce","Tomatoes","Onions","Ranch dressing",8,4,8
"Avocado","Spinach","Tomatoes","Swiss cheese","","","","","Chicken","Ham","Swiss cheese","Mayonnaise","Mustard","","","",5,4,5
"Chicken","Mayonnaise","Cheddar cheese","","","","","","Steak","Onions","Bell peppers","Provolone cheese","","","","",4,3,4
"Chicken","Ham","Cheddar cheese","Mayonnaise","","","","","Turkey","Garlic aioli","Bacon","Spinach","","","","",4,4,4
"Chicken","Swiss cheese","Lettuce","Tomatoes","Onions","","","","Chicken","Cheddar cheese","Lettuce","Garlic aioli","Swiss cheese","Tomatoes","","",6,5,6
"Pork","Cucumbers","Pickles","Jalapenos","Basil","Mayonnaise","","","Turkey","Cheddar cheese","Bacon","","","","","",6,6,3
"Cheddar cheese","Provolone cheese","Swiss cheese","Mushrooms","Mayonnaise","Lettuce","Tomatoes","","Bacon","Turkey","Pepper jack cheese","Mustard","","","","",7,7,4
"Onions","Bell peppers","Mushrooms","Jalapenos","American cheese","Steak","","","Turkey","Ham","Roast beef","Provolone cheese","Spinach","Tomatoes","Mayonnaise","Mustard",8,6,8
"Tuna","Basil","Cheddar cheese","Garlic aioli","Pickles","Onions","Tomatoes","Spinach","Turkey","Ham","Bacon","Provolone cheese","Lettuce","Tomatoes","Ranch dressing","",8,8,7
"Chicken","Pepper jack cheese","Ranch dressing","","","","","","Salami","Provolone cheese","Lettuce","Tomatoes","Mayonnaise","Mustard","","",6,3,6
"Bacon","Spinach","Tomatoes","Avocado","Mayonnaise","","","","Provolone cheese","Swiss cheese","Cheddar cheese","Parmesan cheese","Tomatoes","","","",5,5,5
"Avocado","Onions","Cucumbers","","","","","","Meatballs","Provolone cheese","Marinara sauce","Parmesan cheese","","","","",4,3,4
"Tomatoes","Mozzarella cheese","Spinach","Pesto","","","","","Steak","Bacon","American cheese","Tomatoes","Onions","Pickles","","",6,4,6
"Chicken","Garlic aioli","Pickles","Cucumbers","Jalapenos","Basil","","","Chicken","Bacon","Cheddar cheese","Swiss cheese","Spinach","Tomatoes","Mayonnaise","Mustard",8,6,8
"Pastrami","Swiss cheese","Coleslaw","","","","","","Chicken","Cheddar cheese","Bacon","Avocado","Ranch dressing","","","",5,3,5
"Bacon","Ham","Turkey","Mayonnaise","Mustard","Cheddar cheese","Tomatoes","Spinach","Bacon","Lettuce","Tomatoes","Garlic aioli","Avocado","","","",8,8,5
"Chicken","Mozzarella cheese","Tomatoes","Onions","Basil","Mayonnaise","","","Chicken","American cheese","Coleslaw","Tomatoes","Pickles","Mayonnaise","","",6,6,6
"Turkey","Avocado","Bacon","Garlic aioli","Tomatoes","Spinach","Onions","","Tuna","Lettuce","Tomatoes","Mayonnaise","","","","",7,7,4
"Mushrooms","Swiss cheese","Provolone cheese","Cheddar cheese","Lettuce","Tomatoes","","","Roast beef","Pastrami","Swiss cheese","Mustard","","","","",6,6,4
"Ham","Swiss cheese","Mustard","","","","","","Ham","Swiss cheese","Mayonnaise","Mustard","Tomatoes","","","",5,3,5
"Bacon","Lettuce","Tomatoes","Ranch dressing","","","","","Chicken","Bacon","Mustard","","","","","",4,4,3
"Chicken","Lettuce","Tomatoes","Mayonnaise","","","","","Pepperoni","Meatballs","Marinara sauce","Provolone cheese","Mushrooms","","","",5,4,5
"Chicken","American cheese","Lettuce","Tomatoes","Mayonnaise","","","","Pastrami","Cheddar cheese","Mustard","Pickles","","","","",5,5,4
"Salami","Roast beef","Turkey","Ham","Swiss cheese","Lettuce","Tomatoes","Mayonnaise","Turkey","Cheddar cheese","Mayonnaise","","","","","",8,8,3
